DivisionName,CreationDate,textbox2,textbox4,PricewithDiscount,sumWeight,Textbox14,textbox5,PricewithDiscount1,sumWeight1
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",16.02.2021,1,"929,00","743,20","0,50",3665,"3 712 329,56","2 761 120,47","7860,97"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",17.02.2021,,,,,3221,"3 437 164,11","2 582 923,12","7286,01"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",18.02.2021,1,"2 919,00","1 751,40","0,25",3317,"3 601 028,28","2 621 546,50","8063,76"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",19.02.2021,,,,,3491,"4 193 909,34","3 182 098,82","12949,70"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",20.02.2021,,,,,2222,"2 443 982,10","1 767 092,08","6236,62"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",21.02.2021,,,,,94,"102 979,70","64 078,57","862,67"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",22.02.2021,,,,,135,"189 388,89","134 220,90","711,78"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",23.02.2021,,,,,182,"289 544,98","146 444,78","657,71"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",24.02.2021,,,,,3791,"4 155 674,04","3 060 703,53","9504,86"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",25.02.2021,1,"929,00","510,95","0,25",4005,"4 197 883,82","3 048 461,47","10063,78"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",26.02.2021,,,,,3923,"4 372 380,84","3 262 106,20","18305,83"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",27.02.2021,,,,,230,"227 671,94","124 139,25","909,26"
"БАРНАУЛ ООО ""ГК""ЯСТРЕБ АЛТАЯ""",28.02.2021,,,,,134,"143 346,27","107 612,60","711,00"
БЕЛГОРОД,01.02.2021,5,"5 047,88","4 223,63","22,16",3525,"4 017 060,79","3 086 523,40","7559,22"
БЕЛГОРОД,02.02.2021,9,"8 882,48","5 467,08","5,45",3920,"4 290 014,12","3 159 794,75","7989,82"
БЕЛГОРОД,03.02.2021,3,"837,80","837,80","8,01",3671,"3 902 609,45","2 879 357,23","7921,78"
БЕЛГОРОД,04.02.2021,3,"2 594,80","1 677,40","0,45",4051,"4 083 924,05","2 876 229,86","10036,64"
БЕЛГОРОД,05.02.2021,6,"3 209,70","2 445,91","3,75",4240,"4 197 433,60","3 188 895,92","7769,89"
БЕЛГОРОД,06.02.2021,,,,,284,"199 947,80","110 782,76","699,25"
БЕЛГОРОД,07.02.2021,,,,,205,"216 987,78","149 305,20","1078,95"
БЕЛГОРОД,08.02.2021,4,"7 614,10","7 362,30","24,14",3419,"3 055 828,95","2 150 854,84","8595,76"
БЕЛГОРОД,09.02.2021,4,"3 672,40","2 836,80","0,95",3764,"3 943 590,97","2 904 738,55","6915,60"
БЕЛГОРОД,10.02.2021,5,"3 130,56","3 010,71","1,76",3556,"3 774 267,47","2 694 716,58","8195,63"
БЕЛГОРОД,11.02.2021,,,,,3430,"3 510 806,01","2 561 886,42","6278,32"
БЕЛГОРОД,12.02.2021,8,"8 942,20","4 368,70","13,30",3170,"3 694 458,78","2 663 795,69","6910,90"
